assortativity,taille,network
-0.0013283110756584946,41536,Penn94.gml
0.030568329724581796,2312,Hamilton46.gml
0.027850244273476536,30795,UIllinois20.gml
-0.0622502959623189,1510,Simmons81.gml
-0.00964850037493392,35111,UF21.gml
0.0659587674257628,6370,American75.gml
0.06093107201796439,1657,Swarthmore42.gml
0.030237498086773805,13653,Temple83.gml
0.03439627433056811,10537,Northwestern25.gml
0.06935648619728345,8586,Brown11.gml
0.07570232619365705,24568,Rutgers89.gml
-0.0013784347633863066,16502,UMass92.gml
0.07190565373550929,2613,Trinity100.gml
0.04361720784999336,2970,Smith60.gml
0.06483462782822576,4083,Rice31.gml
0.06749211773411773,1446,Haverford76.gml
0.024946883937196563,4561,Rochester38.gml
0.05544401454006126,3440,Pepperdine86.gml
0.09391543922305963,16800,UC33.gml
0.04034804768240832,2788,Williams40.gml
0.02549059962283379,17178,UVA16.gml
0.05008017692087418,2920,Oberlin44.gml
0.09935852955917497,27731,FSU53.gml
0.07063364105479578,3578,Santa74.gml
0.1584331491509873,15425,MU78.gml
0.04040080728335174,7730,WashU32.gml
0.07967055214259584,5157,Johns Hopkins55.gml
0.09166541049655257,2672,USFCA72.gml
0.14500018217245078,15086,Harvard1.gml
0.023433911766299838,962,Reed98.gml
0.119895513133416,6402,MIT8.gml
0.18306169341124645,14917,UCSB37.gml
0.002951501048267594,14070,JMU79.gml
0.010302260499137766,22900,Berkeley13.gml
0.04770519078558905,12149,Notre Dame57.gml
0.10078144349335603,3068,Vassar85.gml
0.076014632468665,11498,BC17.gml
0.19687582879277638,13736,UC61.gml
0.037823531296211556,8063,Vanderbilt48.gml
0.07090875548774574,5366,Wake73.gml
0.07841541140353592,3069,Middlebury45.gml
6.613719946637311e-05,18158,UNC28.gml
0.06628595853500642,7449,Emory27.gml
0.07719751848418223,7322,Vermont70.gml
0.06812004317425678,13868,Northeastern19.gml
0.01803334888857543,18621,Cornell5.gml
0.08861495550260651,17206,UConn91.gml
0.0010457492217915336,18448,Auburn71.gml
0.10195140824021603,11586,Stanford3.gml
-0.06617072568577184,762,Caltech36.gml
0.19160066608392712,11243,Cal65.gml
0.08962544401950438,24380,UGA50.gml
0.03513316501153229,5073,Lehigh96.gml
0.06121983021853878,7755,Villanova62.gml
-0.016074486395657533,21319,Virginia63.gml
0.056176863076386314,2250,Bowdoin47.gml
0.09506348914928048,3591,Wesleyan43.gml
0.1417016861178262,3745,Mich67.gml
0.06452912074991646,13640,Syracuse56.gml
0.06425328627689918,2970,Wellesley22.gml
0.15067000896993998,10519,Mississippi66.gml
0.09448957325052112,3824,Bucknell39.gml
0.03434524313496983,14936,UCSD34.gml
0.05160144749219283,6472,William77.gml
0.13232212102314633,8979,UCSC68.gml
0.04431174812471217,7677,Dartmouth6.gml
0.07872590537497841,12799,Baylor93.gml
0.07366867873136711,17420,Oklahoma97.gml
0.1464068785249902,13367,USF51.gml
0.009045758336231544,32361,MSU24.gml
0.0005223327887146066,16977,Tennessee95.gml
0.001406663143869357,20829,Maryland58.gml
0.06665596414930891,9885,Duke14.gml
0.1360459556482647,20453,UCLA26.gml
0.09756227040948967,7740,Tulane29.gml
0.11497623627365859,30106,Michigan23.gml
-0.0022173081731901244,11706,Columbia2.gml
0.13735165585524722,10001,Bingham82.gml
0.07314360888978971,9065,Maine59.gml
0.12245847228737619,6621,Carnegie49.gml
0.02525492582618745,12164,GWU54.gml
0.09098016724554245,6575,Princeton12.gml
0.1253775970779927,6810,UC64.gml
0.017935458470097112,6561,UChicago30.gml
-0.00150477461547938,36364,Texas84.gml
0.11798493726385167,6672,Tufts18.gml
0.04533425229383022,19666,BU10.gml
0.010609595309535298,21623,NYU9.gml
0.16388060318553432,31538,Texas80.gml
-0.007707664506203242,14936,UCF52.gml
0.0186038480198277,8561,Yale4.gml
-0.02554054493267737,3887,Brandeis99.gml
0.005504891411338413,17440,USC35.gml
0.13292470722443717,29732,Indiana69.gml
0.05788251760170504,4047,Howard90.gml
-0.0035421110135009704,23831,Wisconsin87.gml
0.05842838917212475,2235,Amherst41.gml
0.07534736669644741,9388,Georgetown15.gml
0.09250026259178017,14888,UPenn7.gml
0.0670008825165129,3482,Colgate88.gml
