assortativity,taille,network
0.19983248137890572,41536,Penn94.gml
0.10509792769883947,2312,Hamilton46.gml
0.21139218463753767,30795,UIllinois20.gml
0.16765156343976673,1510,Simmons81.gml
0.13233647595262515,35111,UF21.gml
0.21905622394555968,6370,American75.gml
0.10281130724071459,1657,Swarthmore42.gml
0.19759365878032673,13653,Temple83.gml
0.19247378579963778,10537,Northwestern25.gml
0.10271179366616427,8586,Brown11.gml
0.17018354521187917,24568,Rutgers89.gml
0.218456276660702,16502,UMass92.gml
0.10883910914751317,2613,Trinity100.gml
0.24251985865351586,2970,Smith60.gml
0.4160109539685949,4083,Rice31.gml
0.12501507074129053,1446,Haverford76.gml
0.1993983259492487,4561,Rochester38.gml
0.13296452523524874,3440,Pepperdine86.gml
0.21993911340729222,16800,UC33.gml
0.12054338554633884,2788,Williams40.gml
0.17219602357939875,17178,UVA16.gml
0.14980232456217782,2920,Oberlin44.gml
0.18570579297404896,27731,FSU53.gml
0.1391771122685546,3578,Santa74.gml
0.23560252283276106,15425,MU78.gml
0.12863887767520224,7730,WashU32.gml
0.1093807485593634,5157,Johns Hopkins55.gml
0.19663846073439417,2672,USFCA72.gml
0.12566737526574703,15086,Harvard1.gml
0.14559977311086097,962,Reed98.gml
0.17875905455484223,6402,MIT8.gml
0.17793194626298298,14917,UCSB37.gml
0.15673106358569272,14070,JMU79.gml
0.14727391198254425,22900,Berkeley13.gml
0.20908558121905815,12149,Notre Dame57.gml
0.19516868272567203,3068,Vassar85.gml
0.12056182013276638,11498,BC17.gml
0.14639000070850217,13736,UC61.gml
0.17594519954224916,8063,Vanderbilt48.gml
0.17847692123631023,5366,Wake73.gml
0.14730209990970256,3069,Middlebury45.gml
0.17710503720055035,18158,UNC28.gml
0.17593581282392837,7449,Emory27.gml
0.19865465125398574,7322,Vermont70.gml
0.15134118467157837,13868,Northeastern19.gml
0.175517941160119,18621,Cornell5.gml
0.10843472236598153,17206,UConn91.gml
0.24042736612322696,18448,Auburn71.gml
0.10150667065975409,11586,Stanford3.gml
0.34909572723443166,762,Caltech36.gml
0.21343925842398645,11243,Cal65.gml
0.2533075703689639,24380,UGA50.gml
0.23143860022786256,5073,Lehigh96.gml
0.1763005479467,7755,Villanova62.gml
0.11855125328976142,21319,Virginia63.gml
0.10031441980247546,2250,Bowdoin47.gml
0.11036671136385881,3591,Wesleyan43.gml
0.22538765949929632,3745,Mich67.gml
0.2359774323649202,13640,Syracuse56.gml
0.10228736377950816,2970,Wellesley22.gml
0.21318037967234668,10519,Mississippi66.gml
0.1811763389286013,3824,Bucknell39.gml
0.24658467383849655,14936,UCSD34.gml
0.15775664215561722,6472,William77.gml
0.38455863780393096,8979,UCSC68.gml
0.12222885074563476,7677,Dartmouth6.gml
0.23150641474238148,12799,Baylor93.gml
0.28033136552953103,17420,Oklahoma97.gml
0.1413555018435298,13367,USF51.gml
0.17311405545603573,32361,MSU24.gml
0.17004454719178086,16977,Tennessee95.gml
0.16126297152756144,20829,Maryland58.gml
0.12995219038012118,9885,Duke14.gml
0.1939864312007326,20453,UCLA26.gml
0.2501175335548616,7740,Tulane29.gml
0.15922823462335065,30106,Michigan23.gml
0.12659829811882659,11706,Columbia2.gml
0.16443840815123933,10001,Bingham82.gml
0.15759585323394737,9065,Maine59.gml
0.14016190000040732,6621,Carnegie49.gml
0.15602588880295445,12164,GWU54.gml
0.09465908835734296,6575,Princeton12.gml
0.17445905769010486,6810,UC64.gml
0.18426706595226888,6561,UChicago30.gml
0.20201105277257322,36364,Texas84.gml
0.12305615720096903,6672,Tufts18.gml
0.12573603906004688,19666,BU10.gml
0.15742922754238067,21623,NYU9.gml
0.20483512843449725,31538,Texas80.gml
0.14492051165177067,14936,UCF52.gml
0.221295821167607,8561,Yale4.gml
0.17898180842824604,3887,Brandeis99.gml
0.17743005580178198,17440,USC35.gml
0.2649707430994523,29732,Indiana69.gml
0.11269101834435273,4047,Howard90.gml
0.21733474879475556,23831,Wisconsin87.gml
0.07481425548102764,2235,Amherst41.gml
0.1270281967970192,9388,Georgetown15.gml
0.18008336663043145,14888,UPenn7.gml
0.15031593379176325,3482,Colgate88.gml
