assortativity,taille,network
0.04911735956594852,41536,Penn94.gml
0.03783366694546707,2312,Hamilton46.gml
0.050101587947787955,30795,UIllinois20.gml
0.06123845464896519,1510,Simmons81.gml
0.044124342746244306,35111,UF21.gml
0.045843852770420836,6370,American75.gml
0.03975495357049314,1657,Swarthmore42.gml
0.056555473298576756,13653,Temple83.gml
0.08263666858500783,10537,Northwestern25.gml
0.03911451404909541,8586,Brown11.gml
0.058144807166453184,24568,Rutgers89.gml
0.06630437841173481,16502,UMass92.gml
0.0675034394502031,2613,Trinity100.gml
0.050211172531449855,2970,Smith60.gml
0.048034577740897484,4083,Rice31.gml
0.03444328988167116,1446,Haverford76.gml
0.06362696532142456,4561,Rochester38.gml
0.03372830189942988,3440,Pepperdine86.gml
0.0353020634349525,16800,UC33.gml
0.0390690059292171,2788,Williams40.gml
0.050492480216193986,17178,UVA16.gml
0.09350709613377944,2920,Oberlin44.gml
0.04276305726791335,27731,FSU53.gml
0.045128433270266326,3578,Santa74.gml
0.046698615398086805,15425,MU78.gml
0.038563878790330706,7730,WashU32.gml
0.06352136708653754,5157,Johns Hopkins55.gml
0.06687327185790677,2672,USFCA72.gml
0.0496688211364049,15086,Harvard1.gml
0.04211843774592218,962,Reed98.gml
0.058022018026844355,6402,MIT8.gml
0.039736321449898825,14917,UCSB37.gml
0.05286918963311421,14070,JMU79.gml
0.05824291382973689,22900,Berkeley13.gml
0.04678693356889398,12149,Notre Dame57.gml
0.054487895872409424,3068,Vassar85.gml
0.0400849061999492,11498,BC17.gml
0.05616150247452806,13736,UC61.gml
0.049776130601208786,8063,Vanderbilt48.gml
0.03954524079238768,5366,Wake73.gml
0.04479913135276607,3069,Middlebury45.gml
0.04591168734132647,18158,UNC28.gml
0.03452358357429321,7449,Emory27.gml
0.04820813651201284,7322,Vermont70.gml
0.0970863412546683,13868,Northeastern19.gml
0.08762381361411431,18621,Cornell5.gml
0.04603645645313946,17206,UConn91.gml
0.039702277549642534,18448,Auburn71.gml
0.04865513035985912,11586,Stanford3.gml
0.03472395191173091,762,Caltech36.gml
0.10539863832221572,11243,Cal65.gml
0.03187138252323901,24380,UGA50.gml
0.04255338869989487,5073,Lehigh96.gml
0.05068103224856218,7755,Villanova62.gml
0.05129090437041073,21319,Virginia63.gml
0.05271676597127179,2250,Bowdoin47.gml
0.049689666480474855,3591,Wesleyan43.gml
0.07497058636432667,3745,Mich67.gml
0.07137284463962895,13640,Syracuse56.gml
0.037243412189846954,2970,Wellesley22.gml
0.039471424634412375,10519,Mississippi66.gml
0.0506831846036092,3824,Bucknell39.gml
0.03202053039408693,14936,UCSD34.gml
0.040335612068968185,6472,William77.gml
0.04748939578389414,8979,UCSC68.gml
0.03902342363224041,7677,Dartmouth6.gml
0.04417239145417013,12799,Baylor93.gml
0.03637824878110512,17420,Oklahoma97.gml
0.02856251617934855,13367,USF51.gml
0.03942356978193254,32361,MSU24.gml
0.03738607104311536,16977,Tennessee95.gml
0.0513739930661873,20829,Maryland58.gml
0.04204920641008297,9885,Duke14.gml
0.045162106663446874,20453,UCLA26.gml
0.0463425917213203,7740,Tulane29.gml
0.05903494781440974,30106,Michigan23.gml
0.04296372435742533,11706,Columbia2.gml
0.04680338384655224,10001,Bingham82.gml
0.05899683001506986,9065,Maine59.gml
0.13164269381955968,6621,Carnegie49.gml
0.04280022474055761,12164,GWU54.gml
0.05437146518552727,6575,Princeton12.gml
0.039040493676952,6810,UC64.gml
0.04763310202197067,6561,UChicago30.gml
0.05219902172352606,36364,Texas84.gml
0.04177141822660305,6672,Tufts18.gml
0.06793056370707955,19666,BU10.gml
0.10564405386047988,21623,NYU9.gml
0.05970963576403857,31538,Texas80.gml
0.031224346055159946,14936,UCF52.gml
0.04793986042919112,8561,Yale4.gml
0.039960628508312925,3887,Brandeis99.gml
0.07957502147198152,17440,USC35.gml
0.04339028379797757,29732,Indiana69.gml
0.04267554932236929,4047,Howard90.gml
0.03637372865636816,23831,Wisconsin87.gml
0.042037553944773626,2235,Amherst41.gml
0.0410612663381189,9388,Georgetown15.gml
0.05109045303637894,14888,UPenn7.gml
0.05220371082480271,3482,Colgate88.gml
