assortativity,taille,network
0.24322176345137367,41536,Penn94.gml
0.34640954862532236,2312,Hamilton46.gml
0.25729975902485147,30795,UIllinois20.gml
0.3178051897827661,1510,Simmons81.gml
0.26171220248237415,35111,UF21.gml
0.287762499500717,6370,American75.gml
0.34695322810613066,1657,Swarthmore42.gml
0.1917335367532191,13653,Temple83.gml
0.3620866932899922,10537,Northwestern25.gml
0.4245493458469022,8586,Brown11.gml
0.2532860210945997,24568,Rutgers89.gml
0.27577776016256733,16502,UMass92.gml
0.3782911525864028,2613,Trinity100.gml
0.26382611614364526,2970,Smith60.gml
0.3574900142671457,4083,Rice31.gml
0.380880994739837,1446,Haverford76.gml
0.27320566302523674,4561,Rochester38.gml
0.33784650413836864,3440,Pepperdine86.gml
0.19474588686736075,16800,UC33.gml
0.46093028399171554,2788,Williams40.gml
0.39497043331844606,17178,UVA16.gml
0.23011231473520424,2920,Oberlin44.gml
0.22214350386320253,27731,FSU53.gml
0.3195960566253728,3578,Santa74.gml
0.3231239494298049,15425,MU78.gml
0.4018423106352956,7730,WashU32.gml
0.325039825491577,5157,Johns Hopkins55.gml
0.21059222292779456,2672,USFCA72.gml
0.542615380559246,15086,Harvard1.gml
0.2623369004087465,962,Reed98.gml
0.315202214921278,6402,MIT8.gml
0.27185894184339227,14917,UCSB37.gml
0.3109844995559799,14070,JMU79.gml
0.2745119639667652,22900,Berkeley13.gml
0.46316812368436394,12149,Notre Dame57.gml
0.4184823886642711,3068,Vassar85.gml
0.5331580159766857,11498,BC17.gml
0.19738208761861142,13736,UC61.gml
0.395919082721776,8063,Vanderbilt48.gml
0.3467056411108689,5366,Wake73.gml
0.40959896782749766,3069,Middlebury45.gml
0.29777855727357155,18158,UNC28.gml
0.3939037373915359,7449,Emory27.gml
0.33760951586093135,7322,Vermont70.gml
0.27360778517070505,13868,Northeastern19.gml
0.40565343236247337,18621,Cornell5.gml
0.24628891857116558,17206,UConn91.gml
0.19188583301598133,18448,Auburn71.gml
0.3593718783378582,11586,Stanford3.gml
0.24366969578420428,762,Caltech36.gml
0.18783784418218435,11243,Cal65.gml
0.3007509756109965,24380,UGA50.gml
0.3066868969784092,5073,Lehigh96.gml
0.4608312675350634,7755,Villanova62.gml
0.25071907565195084,21319,Virginia63.gml
0.40499817577675323,2250,Bowdoin47.gml
0.3941836372039097,3591,Wesleyan43.gml
0.22862512534166476,3745,Mich67.gml
0.37366853870161365,13640,Syracuse56.gml
0.42148919501524285,2970,Wellesley22.gml
0.24395228345157868,10519,Mississippi66.gml
0.4369859056892818,3824,Bucknell39.gml
0.23629555740063846,14936,UCSD34.gml
0.32411574983077,6472,William77.gml
0.22683557358065212,8979,UCSC68.gml
0.41218593513830604,7677,Dartmouth6.gml
0.3000987995149414,12799,Baylor93.gml
0.1946354479279394,17420,Oklahoma97.gml
0.11020967087911322,13367,USF51.gml
0.28231241526784107,32361,MSU24.gml
0.22541838726576965,16977,Tennessee95.gml
0.2731939229399579,20829,Maryland58.gml
0.4720494572245557,9885,Duke14.gml
0.2477659578712316,20453,UCLA26.gml
0.38800512835628254,7740,Tulane29.gml
0.3439661170050704,30106,Michigan23.gml
0.42275448271606286,11706,Columbia2.gml
0.2856649388048818,10001,Bingham82.gml
0.15737256550699188,9065,Maine59.gml
0.31138084733248605,6621,Carnegie49.gml
0.35810083655374614,12164,GWU54.gml
0.48217256350680926,6575,Princeton12.gml
0.16465534176821597,6810,UC64.gml
0.34780394513694834,6561,UChicago30.gml
0.2044049138291882,36364,Texas84.gml
0.4321745992900338,6672,Tufts18.gml
0.4217653197787562,19666,BU10.gml
0.3475775834266083,21623,NYU9.gml
0.2885458101974358,31538,Texas80.gml
0.12512654257007225,14936,UCF52.gml
0.45871575033584683,8561,Yale4.gml
0.3738853695449561,3887,Brandeis99.gml
0.27569581801374776,17440,USC35.gml
0.29512738518844017,29732,Indiana69.gml
0.27962718528340236,4047,Howard90.gml
0.2582731397450252,23831,Wisconsin87.gml
0.4034107230365701,2235,Amherst41.gml
0.5188036638237555,9388,Georgetown15.gml
0.43272468293501,14888,UPenn7.gml
0.4409103362420721,3482,Colgate88.gml
